lfdn;country;copcvdis;ctpcvdis17
572;1;-66;-99
573;1;"Widerstand z. B. gegen Atomkraft, Rüstung etc, 
Steuerverweigerung, Boykotte, Besetzungen, Blockaden";-66
574;1;-66;Weil Regierungsentscheidungen oft nicht sehr bürgerfreundlich sind und teilweise an der Realität vorbeigehen.
575;1;Wende 89;-66
576;1;-66;ohne diese möglichkeit könnten wir uns ja gleich einer diktatur unterwerfen...
577;1;-66;Man muss immer Entscheidungen und allgemein Situationen hinterfragen dürfen und gegebenenfalls auch gegen sowas protestieren dürfen. Wenn man es zivielen Ungehorsam nenen mag, ja dann ist es sehr wichtig, man muss nicht alles einfach so hinnehmen, weil es vielleicht schon immer so war.
578;1;weiss nicht;-66
579;1;Kundgebung;-66
580;1;-66;Eine der wenigen noch legalen Möglichkeiten, Widerstand zu leisten.
581;1;Demonstrationen, Proteste, Blockaden;-66
582;1;weiss nicht;-66
583;1;-66;-66
584;1;-66;weiss nicht genau
585;1;demonstrationen;-66
586;1;das mann nicht alles akzeptiert,aber friedlich;-66
587;1;-66;Die Bürger sollen auch mitentscheiden
588;1;-66;kann keine richtige begründung nennen
589;1;na dass jedem geholfen wrid;-66
590;1;-66;"Um bestimmte Sachen neu zu entscheiden.
Wenn die Merheit der Bevölkerung anders entscheidet als die Regierung."
591;1;Demonstrationen und den damit verbundenen Widerstand gegen die Staatsgewalt, aber nicht in Form von Gewalt sondern beispielsweise wie Demonstranten gegen Castor-Transporte sich an Schienen ketten. Ähnlich dem friedlichen Widerstand wie ihn ein Mahatma Gandhi gelebt und praktiziert hat.  ;-66
592;1;ein stück freiheit;-66
593;1;-66;Weil das Recht auf freie Meinungsänderung ein sehr wichtiges ist.
594;1;ka;-66
595;1;-66;repräsentative demokratie ist nicht alles, man muss sich wehren dürfen
596;1;-66;Regierende werden genauso betriebsblind wie Leute in anderen Berufen - warum sollten sie also immer die richtigen Entscheidungen treffen
597;1;Verstoß gegen das Gesetz;-66
598;1;-66;Politiker sind dafür gewählt worden, dass sie für das Volk regieren
599;1;weiss nicht;-66
600;1;Verweigerung von Richtlinien, öffentliche Proteste, Bürgerinitiative, Meinungsfreiheit, Demonstrationen;-66
602;1;-66;viele Politiker werden heutzutage 'von oben' gezwungen, Entscheidungen zu treffen, die nicht der Meinung der Bevölkerung wiederspiegelt. Deshalb ist es wichtig in solchen Fällen, dass sie Bevölkerung dagegen protestieren kann, um gerechtere Entscheidungen zu bewirken.
603;1;-66;ich verstehe unter zivilem Ungehorsam, das Recht auf Meinungsfreiheit und das Recht zu demonstrieren.
604;1;weiß nicht;-66
605;1;-66;Weil es so ist
606;1;deMo;-66
607;1;-66;Bürger haben die Moeglichkeitm sich die Regierenden zu waehlen, die sie habaen wollen, Dann muessen sie auch deren Entscheidungen mittragen, oder aber die Abgeordneten DIREKT beeinflussen
608;1;"Sitzblockaden bie Kastortransporten; Jede Form der passiven Gewalt";-66
609;1;zivilisten, die eine straftat begehen;-66
610;1;-66;Normen und demokratische Gesetze können auch ungerecht sein, wer zivilen Ungehorsam übt, folgt seinem Gewissen
611;1;streik;-66
612;1;-66;-66
613;1;"-- Steuergelder verschleudern
-- Arbeitsplätze vernichten
-- gerell nicht im Auftrag des Volkes entscheidungen treffen";-66
614;1;Recht auf Streiks;-66
